序号,所在小区,网站链接,总价,建筑时间,区域,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
592,富基世纪公园 ,https://cs.lianjia.com/ershoufang/104108124780.html,2014年建/板塔结合,望城,96.8万,7199元/平米,3室2厅1厨2卫,低楼层 (共18层),134.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-02-23,商品房,2013-03-18,普通住宅,满五年,非共有,无抵押,已上传房本照片
593,旭辉御府 ,https://cs.lianjia.com/ershoufang/104107530514.html,2015年建/板塔结合,岳麓,160万,16577元/平米,3室2厅1厨1卫,中楼层 (共34层),96.52㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-10-29,商品房,2016-10-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1076624870431539
594,五矿哈佛小镇 ,https://cs.lianjia.com/ershoufang/104108086122.html,2014年建/板塔结合,天心,62.8万,8457元/平米,2室2厅1厨1卫,中楼层 (共18层),74.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,2022-02-18,商品房,2018-05-16,普通住宅,暂无数据,非共有,有抵押 20万元 建行 业主自还,已上传房本照片,1121392630441462
595,托斯卡纳 ,https://cs.lianjia.com/ershoufang/104107024503.html,2009年建/板楼,雨花,215万,13912元/平米,3室2厅1厨2卫,中楼层 (共5层),154.55㎡,平层,142.43㎡,板楼,南,钢混结构,毛坯,一梯两户,无,2021-08-09,商品房,2010-08-03,普通住宅,满五年,非共有,有抵押 160万元,已上传房本照片,1059548710432482
596,恒大绿洲 ,https://cs.lianjia.com/ershoufang/104107659220.html,未知年建/板塔结合,雨花,155万,12442元/平米,3室2厅1厨2卫,低楼层 (共32层),124.58㎡,平层,102.91㎡,板塔结合,南 北,钢混结构,其他,两梯四户,有,2021-11-19,商品房,2016-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1098530360450600
597,中国铁建国际城 ,https://cs.lianjia.com/ershoufang/104108528786.html,2010年建/板塔结合,长沙县,73.2万,8154元/平米,3室2厅1厨1卫,低楼层 (共33层),89.78㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-04-21,商品房,2018-04-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
598,时代倾城 ,https://cs.lianjia.com/ershoufang/104108349379.html,未知年建/板塔结合,望城,79.9万,9173元/平米,2室2厅1厨1卫,低楼层 (共35层),87.11㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2022-03-25,商品房,2018-07-24,普通住宅,暂无数据,非共有,有抵押,已上传房本照片
599,中信凯旋城 ,https://cs.lianjia.com/ershoufang/104108473049.html,2015年建/板塔结合,天心,98万,11039元/平米,3室2厅1厨1卫,中楼层 (共16层),88.78㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-04-13,商品房,2018-04-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1045061710461370
600,润江榕园 ,https://cs.lianjia.com/ershoufang/104107388013.html,未知年建/板楼,天心,233万,14113元/平米,4室2厅1厨2卫,中楼层 (共13层),165.1㎡,平层,143.98㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,2021-10-06,商品房,2016-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1082045380440202
601,北辰中央公园 ,https://cs.lianjia.com/ershoufang/104108315753.html,未知年建/暂无数据,天心,141.8万,10884元/平米,4室2厅1厨2卫,低楼层 (共15层),130.29㎡,平层,105.27㎡,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2022-03-20,商品房,2018-03-19,普通住宅,暂无数据,非共有,有抵押 45万元,已上传房本照片,1134967160443091
602,悦禧国际山庄 ,https://cs.lianjia.com/ershoufang/104106867147.html,未知年建/板楼,望城,48.8万,5782元/平米,2室2厅1厨1卫,高楼层 (共6层),84.4㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯一户,暂无数据,2021-07-13,商品房,2017-07-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
603,中国铁建国际城 ,https://cs.lianjia.com/ershoufang/104108528786.html,2010年建/板塔结合,长沙县,73.2万,8154元/平米,3室2厅1厨1卫,低楼层 (共33层),89.78㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-04-21,商品房,2018-04-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
604,托斯卡纳 ,https://cs.lianjia.com/ershoufang/104107024503.html,2009年建/板楼,雨花,215万,13912元/平米,3室2厅1厨2卫,中楼层 (共5层),154.55㎡,平层,142.43㎡,板楼,南,钢混结构,毛坯,一梯两户,无,2021-08-09,商品房,2010-08-03,普通住宅,满五年,非共有,有抵押 160万元,已上传房本照片,1059548710432482
605,长沙欧洲城 ,https://cs.lianjia.com/ershoufang/104107371797.html,2015年建/板楼,天心,155万,11322元/平米,3室2厅1厨2卫,高楼层 (共18层),136.91㎡,平层,113.89㎡,板楼,南 北,钢混结构,简装,两梯四户,有,2021-10-03,商品房,2017-10-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1010948080441109
606,保利西海岸 ,https://cs.lianjia.com/ershoufang/104106737266.html,2016年建/板塔结合,岳麓,168.8万,18046元/平米,3室2厅1厨1卫,中楼层 (共44层),93.54㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-06-24,商品房,2017-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1124705480472455
607,金茂悦 ,https://cs.lianjia.com/ershoufang/104107971605.html,2015年建/塔楼,岳麓,210万,18271元/平米,3室2厅1厨2卫,低楼层 (共32层),114.94㎡,平层,114.94㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-01-20,商品房,2017-08-14,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,1115465650431498
608,钱隆世家 ,https://cs.lianjia.com/ershoufang/104106709506.html,2017年建/板塔结合,开福,117.5万,9463元/平米,3室2厅1厨2卫,低楼层 (共33层),124.17㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯五户,有,2021-06-20,商品房,2020-05-27,普通住宅,暂无数据,非共有,有抵押 30万元 广发银行 业主自还,已上传房本照片,1035414620420283
609,珠江郦城薰衣道 ,https://cs.lianjia.com/ershoufang/104107005000.html,2015年建/板塔结合,开福,110万,11615元/平米,3室2厅1厨1卫,低楼层 (共32层),94.71㎡,平层,72.96㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-08-05,商品房,2017-07-10,普通住宅,暂无数据,共有,有抵押 50万元 中国银行 客户偿还,已上传房本照片,1055588270430766
610,白沙苑 ,https://cs.lianjia.com/ershoufang/104108060046.html,2002年建/板塔结合,雨花,104万,8610元/平米,3室2厅1厨2卫,中楼层 (共8层),120.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2022-02-15,商品房,2012-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,1125063460430415
611,绿地中央广场 ,https://cs.lianjia.com/ershoufang/104108157268.html,2013年建/板塔结合,岳麓,140万,14823元/平米,3室2厅1厨1卫,中楼层 (共33层),94.45㎡,平层,77.29㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-02-27,商品房,2015-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1084774340491186
612,时代倾城 ,https://cs.lianjia.com/ershoufang/104108587031.html,未知年建/板塔结合,望城,121.5万,10527元/平米,4室2厅1厨2卫,中楼层 (共35层),115.42㎡,平层,92.63㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-01,商品房,2018-07-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
613,长沙恒大城 ,https://cs.lianjia.com/ershoufang/104106902264.html,未知年建/板楼,雨花,148.5万,10126元/平米,4室2厅1厨2卫,高楼层 (共18层),146.66㎡,平层,125.65㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2021-07-18,商品房,2016-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1040241680481198
614,辉煌国际城二期 ,https://cs.lianjia.com/ershoufang/104107816127.html,未知年建/板塔结合,芙蓉,117万,11571元/平米,3室2厅1厨2卫,中楼层 (共32层),101.12㎡,平层,80.34㎡,板塔结合,南 北,框架结构,毛坯,一梯四户,暂无数据,2021-12-16,商品房,2018-09-17,普通住宅,暂无数据,共有,有抵押 30万元 工商银行 客户偿还,已上传房本照片,1109481610412651
615,金富星城 ,https://cs.lianjia.com/ershoufang/104107363126.html,未知年建/板塔结合,望城,92万,6490元/平米,4室2厅1厨2卫,高楼层 (共32层),141.76㎡,平层,114.69㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2021-10-01,商品房,2017-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片
616,共和世家 ,https://cs.lianjia.com/ershoufang/104108074121.html,2008年建/板塔结合,岳麓,180万,13320元/平米,3室2厅1厨2卫,中楼层 (共11层),135.14㎡,平层,117.03㎡,板塔结合,南,钢混结构,其他,两梯四户,有,2022-02-17,商品房,2010-07-01,普通住宅,满五年,共有,无抵押,已上传房本照片,1121012530450456
617,都市阳光大厦 ,https://cs.lianjia.com/ershoufang/104108597443.html,2008年建/塔楼,雨花,142万,8532元/平米,4室2厅1厨2卫,低楼层 (共29层),166.45㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,有,2022-05-04,商品房,2017-08-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1105681800441025
618,鑫远湘府华城北区 ,https://cs.lianjia.com/ershoufang/104106824933.html,2010年建/板塔结合,天心,190万,11911元/平米,4室2厅1厨2卫,高楼层 (共24层),159.51㎡,平层,126.56㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2021-07-07,商品房,2010-12-27,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片,1043383970400812
619,润江榕园 ,https://cs.lianjia.com/ershoufang/104107388013.html,未知年建/板楼,天心,233万,14113元/平米,4室2厅1厨2卫,中楼层 (共13层),165.1㎡,平层,143.98㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,2021-10-06,商品房,2016-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1082045380440202
620,中信凯旋城 ,https://cs.lianjia.com/ershoufang/104108473049.html,2015年建/板塔结合,天心,98万,11039元/平米,3室2厅1厨1卫,中楼层 (共16层),88.78㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-04-13,商品房,2018-04-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1045061710461370
621,融科紫檀 ,https://cs.lianjia.com/ershoufang/104106915564.html,未知年建/板塔结合,雨花,209.8万,14774元/平米,4室2厅1厨2卫,中楼层 (共33层),142.01㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,2021-07-21,商品房,2009-02-19,普通住宅,满五年,共有,无抵押,已上传房本照片,1052418390403176
622,美利新世界 ,https://cs.lianjia.com/ershoufang/104108520255.html,2012年建/板塔结合,开福,110万,9460元/平米,3室2厅1厨2卫,高楼层 (共18层),116.29㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022-04-20,商品房,2018-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1145765660440342
623,广电小区 ,https://cs.lianjia.com/ershoufang/104108230321.html,未知年建/板塔结合,雨花,60.5万,8373元/平米,2室1厅1厨1卫,中楼层 (共7层),72.26㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,一梯两户,无,2022-03-08,经济适用房,2006-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1132796080490458
624,长沙理工大学东校区教工宿舍 ,https://cs.lianjia.com/ershoufang/104108069481.html,1999年建/板楼,天心,63万,9068元/平米,4室2厅1厨1卫,高楼层 (共7层),69.48㎡,平层,62.86㎡,板楼,南 北,框架结构,精装,一梯两户,无,2022-02-16,商品房,2017-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1033619290451422
625,山水庭院东区 ,https://cs.lianjia.com/ershoufang/104108143932.html,2007年建/板楼,雨花,104万,8553元/平米,3室2厅1厨2卫,中楼层 (共11层),121.6㎡,平层,106.6㎡,板楼,南,钢混结构,精装,两梯两户,有,2022-02-25,商品房,2010-05-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1104128430471083
626,湘府十城 ,https://cs.lianjia.com/ershoufang/104108060459.html,2014年建/板塔结合,雨花,96.8万,10976元/平米,3室1厅1厨1卫,中楼层 (共18层),88.2㎡,平层,70.46㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-02-15,商品房,2013-07-30,普通住宅,满五年,共有,无抵押,已上传房本照片,1115777170430519
627,梅溪鑫苑名家 ,https://cs.lianjia.com/ershoufang/104108173101.html,2016年建/板塔结合,岳麓,152万,14348元/平米,3室2厅1厨2卫,低楼层 (共33层),105.94㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,2022-03-01,商品房,2018-02-27,普通住宅,暂无数据,非共有,有抵押 100万元 平安银行 客户偿还,已上传房本照片,1067396130461588
628,童话里 ,https://cs.lianjia.com/ershoufang/104108510900.html,2012年建/板塔结合,天心,97万,11067元/平米,3室2厅1厨2卫,低楼层 (共31层),87.65㎡,平层,71.21㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-04-19,商品房,2012-07-25,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,1006710680480259
629,中江锦城 ,https://cs.lianjia.com/ershoufang/104108070697.html,2000年建/板楼,雨花,87万,6678元/平米,3室2厅1厨2卫,中楼层 (共7层),130.28㎡,错层,115.93㎡,板楼,南 北,混合结构,简装,一梯两户,无,2022-02-16,商品房,2004-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1085890600441041
630,保利西海岸 ,https://cs.lianjia.com/ershoufang/104108253567.html,2016年建/板塔结合,岳麓,150万,19410元/平米,2室2厅1厨1卫,中楼层 (共44层),77.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-11,商品房,2017-06-22,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,1118550700401112
631,山水庭院东区 ,https://cs.lianjia.com/ershoufang/104108143932.html,2007年建/板楼,雨花,104万,8553元/平米,3室2厅1厨2卫,中楼层 (共11层),121.6㎡,平层,106.6㎡,板楼,南,钢混结构,精装,两梯两户,有,2022-02-25,商品房,2010-05-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1104128430471083
632,融科三万英尺 ,https://cs.lianjia.com/ershoufang/104108214409.html,2006年建/板塔结合,雨花,204.5万,15353元/平米,3室2厅1厨2卫,高楼层 (共30层),133.2㎡,平层,110.96㎡,板塔结合,东南,钢混结构,精装,两梯三户,有,2022-03-06,商品房,2009-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1129272750460890
633,银杏嘉园 ,https://cs.lianjia.com/ershoufang/104107694347.html,未知年建/板塔结合,天心,159万,11805元/平米,3室2厅1厨2卫,中楼层 (共17层),134.69㎡,平层,117.59㎡,板塔结合,南,钢混结构,毛坯,一梯四户,有,2021-11-25,商品房,2013-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1101026000431075
634,紫御江山人民里 ,https://cs.lianjia.com/ershoufang/104107922538.html,2014年建/板塔结合,芙蓉,112万,10974元/平米,3室2厅1厨1卫,低楼层 (共26层),102.06㎡,平层,76.73㎡,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022-01-07,商品房,2014-11-05,普通住宅,满五年,非共有,有抵押 27万元 业主自还,已上传房本照片,1113061320401449
635,名家翡翠花园 ,https://cs.lianjia.com/ershoufang/104108074329.html,2012年建/板塔结合,望城,84.8万,9592元/平米,3室2厅1厨1卫,高楼层 (共29层),88.41㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2022-02-17,商品房,2017-11-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
636,珠江郦城薰衣道 ,https://cs.lianjia.com/ershoufang/104107095296.html,2015年建/板塔结合,开福,111万,12217元/平米,3室2厅1厨1卫,中楼层 (共32层),90.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-08-22,商品房,2016-12-23,普通住宅,满五年,非共有,有抵押 20万元 客户偿还,已上传房本照片,1062433290441032
637,长永佳苑 ,https://cs.lianjia.com/ershoufang/104108390840.html,未知年建/板塔结合,长沙县,76.8万,6169元/平米,3室2厅1厨2卫,高楼层 (共33层),124.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯七户,暂无数据,2022-03-31,商品房,2017-08-17,普通住宅,暂无数据,非共有,有抵押 20万元,已上传房本照片
638,长沙理工大学东校区教工宿舍 ,https://cs.lianjia.com/ershoufang/104108069481.html,1999年建/板楼,天心,63万,9068元/平米,4室2厅1厨1卫,高楼层 (共7层),69.48㎡,平层,62.86㎡,板楼,南 北,框架结构,精装,一梯两户,无,2022-02-16,商品房,2017-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1033619290451422
639,保利西海岸 ,https://cs.lianjia.com/ershoufang/104108253567.html,2016年建/板塔结合,岳麓,150万,19410元/平米,2室2厅1厨1卫,中楼层 (共44层),77.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-11,商品房,2017-06-22,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,1118550700401112
640,都市阳光大厦 ,https://cs.lianjia.com/ershoufang/104108597443.html,2008年建/塔楼,雨花,142万,8532元/平米,4室2厅1厨2卫,低楼层 (共29层),166.45㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,有,2022-05-04,商品房,2017-08-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1105681800441025
641,第一湾 ,https://cs.lianjia.com/ershoufang/104108495452.html,2012年建/板塔结合,开福,93万,11076元/平米,3室1厅1厨1卫,中楼层 (共31层),83.97㎡,平层,65.46㎡,板塔结合,南,钢混结构,精装,三梯四十三户,有,2022-04-16,商品房,2013-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1049652240460818
642,长沙恒大城 ,https://cs.lianjia.com/ershoufang/104107395621.html,未知年建/暂无数据,雨花,91万,9866元/平米,3室2厅1厨1卫,中楼层 (共18层),92.24㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,2021-10-07,商品房,2018-02-11,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,1102973910441150
643,万科白鹭郡 ,https://cs.lianjia.com/ershoufang/104108468319.html,2013年建/板塔结合,岳麓,142万,15641元/平米,3室2厅1厨1卫,中楼层 (共34层),90.79㎡,平层,74.03㎡,板塔结合,西南,钢混结构,精装,三梯六户,有,2022-04-12,商品房,2017-01-13,普通住宅,满五年,非共有,有抵押 39万元,已上传房本照片,1141178870412513
644,长沙恒大城 ,https://cs.lianjia.com/ershoufang/104107711634.html,2015年建/板楼,雨花,98万,10631元/平米,3室2厅1厨1卫,高楼层 (共18层),92.19㎡,平层,74.77㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-11-28,商品房,2014-09-19,普通住宅,满五年,非共有,有抵押 6万元 中信银行 业主自还,已上传房本照片,1002212720451615
645,华悦城 ,https://cs.lianjia.com/ershoufang/104108188256.html,2013年建/塔楼,雨花,130万,10793元/平米,3室2厅1厨2卫,高楼层 (共26层),120.45㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-03-03,商品房,2018-04-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1117553070401250
646,鑫远湘府华城北区 ,https://cs.lianjia.com/ershoufang/104106824933.html,2010年建/板塔结合,天心,190万,11911元/平米,4室2厅1厨2卫,高楼层 (共24层),159.51㎡,平层,126.56㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2021-07-07,商品房,2010-12-27,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片,1043383970400812
647,双盈卧龙湾 ,https://cs.lianjia.com/ershoufang/104107576196.html,未知年建/板塔结合,望城,102.9万,6404元/平米,4室2厅1厨3卫,中楼层 (共18层),160.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,2021-11-05,商品房,2017-06-14,普通住宅,暂无数据,非共有,有抵押 40万元 40,已上传房本照片
648,金茂梅溪湖 ,https://cs.lianjia.com/ershoufang/104108606772.html,2014年建/板楼,岳麓,180万,18803元/平米,3室2厅1厨1卫,中楼层 (共32层),95.73㎡,平层,95.27㎡,板楼,南,钢混结构,其他,两梯四户,有,2022-05-05,商品房,2017-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1138844210491332
649,藏珑湖上国际花园 ,https://cs.lianjia.com/ershoufang/104107081250.html,未知年建/板塔结合,开福,108万,11981元/平米,3室2厅1厨1卫,中楼层 (共28层),90.15㎡,平层,73.81㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-08-20,商品房,2015-11-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1026435580460342
650,中海国际社区三期 ,https://cs.lianjia.com/ershoufang/104107909573.html,2013年建/板塔结合,岳麓,118万,11239元/平米,3室2厅1厨2卫,高楼层 (共33层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯七户,有,2022-01-04,商品房,2018-03-15,普通住宅,暂无数据,非共有,有抵押 50万元 中国银行 客户偿还,已上传房本照片,1017626920481580
651,世纪城达江苑 ,https://cs.lianjia.com/ershoufang/104107381830.html,2008年建/板塔结合,开福,126万,12126元/平米,3室2厅1厨1卫,低楼层 (共28层),103.91㎡,平层,82.99㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-10-05,商品房,2011-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1046690770431323
652,泊爱蓝湾 ,https://cs.lianjia.com/ershoufang/104108201523.html,2013年建/板塔结合,雨花,142万,10778元/平米,3室2厅1厨2卫,高楼层 (共18层),131.75㎡,平层,105.28㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2022-03-04,商品房,2013-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1135356090450290
653,长燃新奥佳园 ,https://cs.lianjia.com/ershoufang/104107779452.html,2013年建/板塔结合,望城,112.8万,8628元/平米,3室2厅1厨2卫,高楼层 (共33层),130.75㎡,平层,暂无数据,板塔结合,北 南,钢混结构,毛坯,四梯八户,有,2021-12-09,商品房,2018-02-08,普通住宅,暂无数据,非共有,有抵押 42万元 建设银行 客户偿还,已上传房本照片
654,华盛世纪新城 ,https://cs.lianjia.com/ershoufang/104108349111.html,2009年建/板塔结合,雨花,121.8万,8812元/平米,4室2厅1厨2卫,高楼层 (共18层),138.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-25,商品房,2016-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1046226400431250
655,格林星城 ,https://cs.lianjia.com/ershoufang/104107870521.html,2007年建/板塔结合,岳麓,140万,10803元/平米,3室2厅1厨2卫,中楼层 (共18层),129.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有,2021-12-27,商品房,2018-01-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1110399170480801
656,听香水榭 ,https://cs.lianjia.com/ershoufang/104107353054.html,2013年建/板塔结合,开福,126万,12763元/平米,3室2厅1厨2卫,高楼层 (共23层),98.73㎡,复式,83.94㎡,板塔结合,南 北,钢混结构,精装,两梯六户,有,2021-09-29,商品房,2015-12-10,普通住宅,满五年,非共有,有抵押 32万元 建 行 业主自还,已上传房本照片,1080670650470273
657,尚都花园城 ,https://cs.lianjia.com/ershoufang/104106110744.html,2011年建/板塔结合,长沙县,57.2万,6737元/平米,2室2厅1厨1卫,低楼层 (共33层),84.91㎡,平层,67.24㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-03-24,商品房,2014-03-07,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片
658,香樟鑫都 ,https://cs.lianjia.com/ershoufang/104106740842.html,2015年建/板楼,雨花,168万,10548元/平米,4室2厅1厨2卫,低楼层 (共33层),159.28㎡,平层,124.46㎡,板楼,南 北,钢混结构,简装,一梯两户,有,2021-06-24,商品房,2018-01-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1079904210480809
659,格兰小镇 ,https://cs.lianjia.com/ershoufang/104107624450.html,未知年建/板塔结合,天心,113万,9526元/平米,3室2厅1厨2卫,中楼层 (共11层),118.63㎡,平层,104.13㎡,板塔结合,南,混合结构,精装,一梯两户,有,2021-11-14,商品房,2010-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1068011980412220
660,旭辉香樟公馆 ,https://cs.lianjia.com/ershoufang/104108507695.html,2016年建/板塔结合,雨花,100万,10512元/平米,3室2厅1厨2卫,高楼层 (共34层),95.13㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,三梯六户,有,2022-04-18,商品房,2018-04-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1112217350412489
661,双盈卧龙湾 ,https://cs.lianjia.com/ershoufang/104107576196.html,未知年建/板塔结合,望城,102.9万,6404元/平米,4室2厅1厨3卫,中楼层 (共18层),160.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,2021-11-05,商品房,2017-06-14,普通住宅,暂无数据,非共有,有抵押 40万元 40,已上传房本照片
662,华悦城 ,https://cs.lianjia.com/ershoufang/104108188256.html,2013年建/塔楼,雨花,130万,10793元/平米,3室2厅1厨2卫,高楼层 (共26层),120.45㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-03-03,商品房,2018-04-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1117553070401250
663,长沙恒大城 ,https://cs.lianjia.com/ershoufang/104107711634.html,2015年建/板楼,雨花,98万,10631元/平米,3室2厅1厨1卫,高楼层 (共18层),92.19㎡,平层,74.77㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-11-28,商品房,2014-09-19,普通住宅,满五年,非共有,有抵押 6万元 中信银行 业主自还,已上传房本照片,1002212720451615
664,中江锦城 ,https://cs.lianjia.com/ershoufang/104108070697.html,2000年建/板楼,雨花,87万,6678元/平米,3室2厅1厨2卫,中楼层 (共7层),130.28㎡,错层,115.93㎡,板楼,南 北,混合结构,简装,一梯两户,无,2022-02-16,商品房,2004-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1085890600441041
665,湘府十城 ,https://cs.lianjia.com/ershoufang/104108060459.html,2014年建/板塔结合,雨花,96.8万,10976元/平米,3室1厅1厨1卫,中楼层 (共18层),88.2㎡,平层,70.46㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-02-15,商品房,2013-07-30,普通住宅,满五年,共有,无抵押,已上传房本照片,1115777170430519
666,童话里 ,https://cs.lianjia.com/ershoufang/104108510900.html,2012年建/板塔结合,天心,97万,11067元/平米,3室2厅1厨2卫,低楼层 (共31层),87.65㎡,平层,71.21㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-04-19,商品房,2012-07-25,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,1006710680480259
667,保利西海岸 ,https://cs.lianjia.com/ershoufang/104108253567.html,2016年建/板塔结合,岳麓,150万,19410元/平米,2室2厅1厨1卫,中楼层 (共44层),77.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-11,商品房,2017-06-22,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,1118550700401112
