制造商型号,厂家,描述,库存数量,批号,起订量,香港(美金),单价含税(13%),货期,操作
SMBJ8.0A,PTTC(聚鼎),TVS DIODE 8VWM 13.6VC SMB,9000,16,1+  10+  100+  500+  1000+,-,¥0.2364  ¥0.2163  ¥0.1984  ¥0.1811  ¥0.1654,1-3个工作日,购买
SMCJ33A,PTTC(聚鼎),TVS DIODE 33VWM 53.3VC SMC,8814,16+,1+  10+  100+  500+  1000+,-,¥0.7509  ¥0.6882  ¥0.6208  ¥0.5692  ¥0.5168,1-3个工作日,购买
SMDJ70CA,PTTC(聚鼎),TVS DIODE 70VWM 113VC SMD,5000,16+,1+  10+  100+  500+  1000+,-,¥1.1241  ¥1.0212  ¥0.9256  ¥0.8493  ¥0.7751,1-3个工作日,购买
SMBJ130CA,PTTC(聚鼎),TVS DIODE 130VWM 209VC SMB,4500,16,1+  10+  100+  500+  1000+,-,¥0.3032  ¥0.2777  ¥0.2519  ¥0.2283  ¥0.2067,1-3个工作日,购买
ESD5Z6.0T1G,ON,TVS DIODE 6VWM 20.5VC SOD523,2324,1752,1+  10+  100+  500+  1000+,-,¥0.1978  ¥0.1806  ¥0.1629  ¥0.1486  ¥0.1356,1-3个工作日,购买
SMAJ26CA,PTTC(聚鼎),TVS DIODE 26VWM 42.1VC SMA,2175,16+,1+  10+  100+  500+  1000+,-,¥0.3097  ¥0.2820  ¥0.2573  ¥0.2345  ¥0.2147,1-3个工作日,购买
SMBJ100A,PTTC(聚鼎),TVS DIODE 100VWM 162VC SMB,1990,15+,1+  10+  100+  500+  1000+,-,¥0.2931  ¥0.2683  ¥0.2446  ¥0.2247  ¥0.2034,1-3个工作日,购买
SMBJ10CA,PTTC(聚鼎),TVS DIODE 10VWM 17VC SMB,1710,16+,1+  10+  100+  500+  1000+,-,¥0.3058  ¥0.2800  ¥0.2551  ¥0.2336  ¥0.2147,1-3个工作日,购买
SMAJ18CA,PTTC(聚鼎),TVS DIODE 18VWM 29.2VC SMA,1625,16+,1+  10+  100+  500+  1000+,-,¥0.3029  ¥0.2779  ¥0.2554  ¥0.2337  ¥0.2147,1-3个工作日,购买
SMBJ5.0A,PTTC(聚鼎),TVS DIODE 5VWM 9.2VC SMB,1570,16+,1+  10+  100+  500+  1000+,-,¥0.2433  ¥0.2206  ¥0.2007  ¥0.1821  ¥0.1654,1-3个工作日,购买
SMBJ28CA,PTTC(聚鼎),TVS DIODE 28VWM 45.4VC SMB,860,16+,1+  10+  100+  500+  1000+,-,¥0.2984  ¥0.2687  ¥0.2437  ¥0.2227  ¥0.2009,1-3个工作日,购买
SMBJ7.0CA,PTTC(聚鼎),TVS DIODE 7VWM SMD,470,16+,1+  10+  100+  500+  1000+,-,¥0.2978  ¥0.2687  ¥0.2443  ¥0.2208  ¥0.2009,1-3个工作日,购买
SMBJ8.5CA,PTTC(聚鼎),TVS DIODE 8.5VWM 14.4VC SMB,460,15/16,1+  10+  100+  500+  1000+,-,¥0.2496  ¥0.2251  ¥0.2032  ¥0.1831  ¥0.1654,1-3个工作日,购买
SMBJ440A,PTTC(聚鼎),TVS DIODE 440VWM 713VC SMB,400,16+,1+  10+  100+  500+  1000+,-,¥0.8261  ¥0.7465  ¥0.6849  ¥0.6279  ¥0.5684,1-3个工作日,购买
P6KE200A,PTTC(聚鼎),TVS DIODE 171VWM 353VC DO15,350,16+,1+  10+  100+  500+  1000+,-,¥0.3234  ¥0.2959  ¥0.2703  ¥0.2475  ¥0.2273,1-3个工作日,购买
SMAJ6.5CA,PTTC(聚鼎),TVS DIODE 6.5VWM 11.2VC SMA,335,16,1+  10+  100+  500+  1000+,-,¥0.2399  ¥0.2192  ¥0.2007  ¥0.1815  ¥0.1654,1-3个工作日,购买
SMBJ250A,PTTC(聚鼎),TVS DIODE 250VWM 405VC DO214AA,200,16+,1+  10+  100+  500+  1000+,-,¥0.4047  ¥0.3723  ¥0.3397  ¥0.3061  ¥0.2762,1-3个工作日,购买
P6SMB6.8CA,PTTC(聚鼎),TVS DIODE 5.8VWM 10.5VC SMD,179,16+,1+  10+  100+  500+  1000+,-,¥0.2300  ¥0.2078  ¥0.1884  ¥0.1725  ¥0.1582,1-3个工作日,购买
VC060305A150DP,AVX,VARISTOR 6.8V 30A 0603,168,a,1+  10+  25+  50+  100+  250+  500+,-,¥2.5190  ¥2.3559  ¥2.2121  ¥2.0601  ¥1.9177  ¥1.7959  ¥1.6849,1-3个工作日,购买
SMAJ15CA,PTTC(聚鼎),TVS DIODE 15VWM SMD,143,16+,1+  10+  100+  500+  1000+,-,¥0.3135  ¥0.2870  ¥0.2593  ¥0.2362  ¥0.2147,1-3个工作日,购买
SMBJ6.5CA,PTTC(聚鼎),TVS DIODE 6.5VWM 11.2VC SMB,141,18+,1+  10+  100+  500+  1000+,-,¥0.2673  ¥0.2406  ¥0.2175  ¥0.1987  ¥0.1797,1-3个工作日,购买
SMDJ15CA,PTTC(聚鼎),TVS DIODE 15VWM 24.4VC SMD,134,16+,1+  10+  100+  500+  1000+,-,¥0.9881  ¥0.8911  ¥0.8120  ¥0.7380  ¥0.6718,1-3个工作日,购买
SMBJ18A,ON,TVS DIODE 18VWM 29.2VC SMB,95,16+,1+  10+  25+  50+  100+  250+  500+,-,¥1.9714  ¥1.8510  ¥1.7225  ¥1.6053  ¥1.4968  ¥1.3959  ¥1.3108,1-3个工作日,购买
SMBJ440A,PTTC(聚鼎),TVS DIODE 440VWM 713VC SMB,90,16+,1+  10+  100+  500+  1000+,-,¥1.1847  ¥1.0728  ¥0.9863  ¥0.8901  ¥0.8079,1-3个工作日,购买
SMBJ36A,PTTC(聚鼎),TVS DIODE 36VWM 58.1VC SMB,80,16+,1+  10+  100+  500+  1000+,-,¥0.2847  ¥0.2601  ¥0.2392  ¥0.2184  ¥0.2009,1-3个工作日,购买
SMAJ15A,PTTC(聚鼎),TVS DIODE 15VWM 24.4VC SMA,50,16+,1+  10+  100+  500+  1000+,-,¥0.2453  ¥0.2230  ¥0.2014  ¥0.1829  ¥0.1654,1-3个工作日,购买
VC060305A150DP,AVX,VARISTOR 6.8V 30A 0603,32,N,1+  10+  100+  500+  1000+,-,¥1.2759  ¥1.1707  ¥1.0618  ¥0.9637  ¥0.8837,1-3个工作日,购买
SMBJ6.0CA,PTTC(聚鼎),TVS DIODE 6VWM 10.3VC SMB,18,16+,1+  10+  100+  500+  1000+,-,¥0.4753  ¥0.4341  ¥0.3983  ¥0.3595  ¥0.3277,1-3个工作日,购买
SMBJ15CA,PTTC(聚鼎),TVS DIODE 15VWM 24.4VC SMB,14,16+,1+  10+  100+  500+  1000+,-,¥0.2400  ¥0.2165  ¥0.1986  ¥0.1820  ¥0.1654,1-3个工作日,购买
SMBJ5.0CA,PTTC(聚鼎),TVS DIODE 5VWM 9.2VC SMB,5,15+,1+  10+  100+  500+  1000+,-,¥0.2766  ¥0.2493  ¥0.2285  ¥0.2087  ¥0.1899,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
BCR400WH6327XTSA1,Infineon,,685,1621,1+  10+  100+  500+  1000+,-,¥0.7646  ¥0.6989  ¥0.6367  ¥0.5762  ¥0.5190,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,118,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥3.5048  ¥3.2623  ¥3.0511  ¥2.8629  ¥2.6741  ¥2.5112  ¥2.3540,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,14,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥4.1515  ¥3.8792  ¥3.6225  ¥3.3919  ¥3.1677  ¥2.9522  ¥2.7685,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
MC74VHC1G00DFT1G,ON,IC GATE NAND 1CH 2-INP SC-70,1237,17+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2197  ¥0.2017  ¥0.1852  ¥0.1673,1-3个工作日,购买
BCR400WH6327XTSA1,Infineon,,685,1621,1+  10+  100+  500+  1000+,-,¥0.7646  ¥0.6989  ¥0.6367  ¥0.5762  ¥0.5190,1-3个工作日,购买
MC74AC273DWR2G,ON,IC D-TYPE POS TRG SNGL 20SOIC,152,17+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0943  ¥1.9537  ¥1.8270  ¥1.7129  ¥1.5984  ¥1.4933  ¥1.3895,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,118,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥3.5048  ¥3.2623  ¥3.0511  ¥2.8629  ¥2.6741  ¥2.5112  ¥2.3540,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,100,2012+,1+  10+  25+  50+  100+  250+  500+,-,¥1.9263  ¥1.8084  ¥1.6945  ¥1.5894  ¥1.4846  ¥1.3915  ¥1.2995,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,100,12+,1+  10+  25+  50+  100+  250+  500+,-,¥1.9241  ¥1.8007  ¥1.6780  ¥1.5689  ¥1.4625  ¥1.3686  ¥1.2769,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,50,12+,1+  10+  25+  50+  100+  250+  500+,-,¥2.1978  ¥2.0475  ¥1.9124  ¥1.7811  ¥1.6732  ¥1.5714  ¥1.4690,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
IR2101STRPBF,Infineon,IC DRIVER HIGH/LOW SIDE 8SOIC,15,17,1+  10+  25+  50+  100+  250+  500+,-,¥3.5281  ¥3.3061  ¥3.0929  ¥2.8867  ¥2.6907  ¥2.5280  ¥2.3730,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,14,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥4.1515  ¥3.8792  ¥3.6225  ¥3.3919  ¥3.1677  ¥2.9522  ¥2.7685,1-3个工作日,购买
BTS4880RAUMA1,Infineon,,12,a,1+  10+  50+  100+  500+  1000+,-,¥50.7420  ¥48.3246  ¥45.9453  ¥43.7929  ¥41.6272  ¥39.7092,1-3个工作日,购买
NB3N3002DTG,ON,IC CLK GEN XTAL-HCSL 16-TSSOP,10,A,1+  10+  50+  100+  500+  1000+,-,¥24.3623  ¥23.3520  ¥22.2221  ¥21.2605  ¥20.2429  ¥19.3953,1-3个工作日,购买
AP2280-1WG-7,DIODES,IC LOAD SW CTRL 1CH SOT-25,4,a,1+  10+  25+  50+  100+  250+  500+,-,¥4.3267  ¥4.0376  ¥3.7884  ¥3.5463  ¥3.3187  ¥3.0960  ¥2.9041,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
MC74AC14DTR2G,ON,IC SCHMITT TRIG HEX INV 14-TSSOP,1,A,1+  10+  25+  50+  100+  250+  500+,-,¥2.1971  ¥2.0596  ¥1.9306  ¥1.8086  ¥1.6955  ¥1.5874  ¥1.4872,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
BLM15PG100SN1D,Murata,FERRITE CHIP 10 OHM 1A 0402,1980,15+,1+  10+  100+  250+  500+,-,¥0.3028  ¥0.1584  ¥0.0797  ¥0.0453  ¥0.0245,1-3个工作日,购买
BLM15PG100SN1D,Murata,FERRITE CHIP 10 OHM 1A 0402,1980,16,1+  10+  100+  250+  500+,-,¥0.4353  ¥0.2355  ¥0.1150  ¥0.0568  ¥0.0269,1-3个工作日,购买
BLM03AX800SN1D,Murata,FERRITE BEAD 80 OHM 500MA 0201,500,1603+,1+  10+  100+  500+  1000+,-,¥0.6119  ¥0.5592  ¥0.5114  ¥0.4646  ¥0.4215,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
BLM18KG601SN1D,Murata,FERRITE CHIP 600 OHM 1300MA 0603,50,18+,1+  10+  100+  500+  1000+,-,¥0.1539  ¥0.1386  ¥0.1262  ¥0.1149  ¥0.1056,1-3个工作日,购买
BLM15HG102SN1D,Murata,FILTER CHIP 1000 OHM 250MA 0402,44,a,1+  10+  100+  500+  1000+,-,¥0.4235  ¥0.3853  ¥0.3517  ¥0.3176  ¥0.2860,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
ACT45B-510-2P-TL003,TDK,CHOKE COM MODE 51UH 2.8KOHM SMD,1,a,1+  10+  50+  100+  500+  1000+,-,¥17.5830  ¥16.8561  ¥16.0960  ¥15.4449  ¥14.7026  ¥14.0868,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
DG408DY-T1-E3,VISHAY,IC MULTIPLEXER 8X1 16SOIC,1,16,1+  10+  100+  500+  1000+,$0.7808  $0.7096  $0.6512  $0.5901  $0.5332,¥6.1226  ¥5.5648  ¥5.1069  ¥4.6270  ¥4.1812,1-3个工作日,购买
